"Jogador","Equipa","Equipa dentro de um período de tempo seleccionado","Posição","Idade","Valor de mercado","Contrato termina","Partidas jogadas","Minutos jogados:","Golos","Golos esperados","Assistências","Assistências esperadas","Duelos/90","Duelos ganhos, %","Naturalidade","País de nacionalidade","Pé","Altura","Peso","Emprestado","Ações defensivas com êxito/90","Duelos defensivos/90","Duelos defensivos ganhos, %","Duelos aérios/90...25","Duelos aéreos ganhos, %","Cortes/90","Cortes de carrinho ajust. à posse","Remates intercetados/90","Interseções/90","Interceções ajust. à posse","Faltas/90","Cartões amarelos","Cartões amarelos/90","Cartões vermelhos","Cartões vermelhos/90","Acções atacantes com sucesso/90","Golos/90","Golos sem ser por penálti","Golos sem ser por penálti/90","Golos esperados/90","Golos de cabeça","Golos de cabeça/90","Remate","Remates/90","Remates à baliza, %","Golos marcados, %","Assistências/90","Cruzamentos/90","Cruzamentos certos, %","Cruzamentos do flanco esquerdo/90","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos do flanco direito/90","Cruzamentos precisos do flanco direito, %","Cruzamentos para a área de baliza/90","Dribles/90","Dribles com sucesso, %","Duelos ofensivos/90","Duelos ofensivos ganhos, %","Toques na área/90","Corridas progressivas/90","Acelerações/90","Passes recebidos/90","Passes longos recebidos/90","Faltas sofridas/90","Passes/90","Passes certos, %","Passes para a frente/90","Passes para a frente certos, %","Passes para trás/90","Passes para trás certos, %","Passes laterais/90","Passes laterais certos, %","Passes curtos / médios /90","Passes curtos / médios precisos, %","Passes longos/90","Passes longos certos, %","Comprimento médio de passes, m","Comprimento médio de passes longos, m","Assistências esperadas/90","Assistências para remate/90","Segundas assistências/90","Terceiras assistências/90","Passes inteligentes/90","Passes inteligentes certos, %","Passes chave/90","Passes para terço final/90","Passes certos para terço final, %","Passes para a área de penálti/90","Passes precisos para a área de penálti, %","Passes em profundidade/90","Passes em profundidade certos, %","Receção de passes em profundidade/90","Cruzamentos em profundidade recebidos/90","Passes progressivos/90","Passes progressivos certos, %","Golos sofridos","Golos sofridos/90","Remates sofridos","Remates sofridos/90","Jogos sem sofrer golos","Defesas, %","Golos sofridos esperados","Golos sofridos esperados/90","Golos expectáveis defendidos","Golos expectáveis defendidos por 90´","Passes para trás recebidos pelo guarda-redes/90","Saídas/90","Duelos aérios/90...109","Livres/90","Livres directos/90","Pontapés livres directos à baliza, %","Cantos/90","Penaltis marcados","Conversão de penaltis, %"
"Jemmes","Mirassol","Mirassol","LCB",25,0,"2027-12-31",36,3617,2,2.26,0,0.32,10.48,61.05,"Brazil","Brazil","direito",187,73,"sim",7.69,4.03,63.58,3.51,61.7,0.15,0.2,0.65,4.98,6.72,0.82,3,0.07,0,0,0.5,0.05,2,0.05,0.06,0,0,12,0.3,25,16.667,0,0.02,100,0.02,100,0,0,0,0.55,68.18,1.44,56.9,0.37,1.22,0.27,27.57,0.22,0.27,40.41,89.72,16.12,81.48,3.01,94.21,15.38,97.41,38.12,91.64,2.26,57.14,17.98,31.02,0.01,0.12,0,0.02,0.02,100,0,3.06,77.24,0.17,28.57,0.12,20,0.07,0.02,5,59.7,0,NA,0,NA,0,0,0,0,NA,NA,1.74,NA,NA,0,0,0,0.02,0,0
"Willian Machado","Ceará","Ceará","LCB",29,1e+05,"2027-12-31",35,3517,0,1.5,0,1.08,9.75,72.18,"Brazil","Brazil","esquerdo",186,90,"sim",7.4,3.51,72.26,4.22,77.58,0.15,0.19,0.46,4.71,5.71,0.56,6,0.15,0,0,0.36,0,0,0,0.04,0,0,17,0.44,47.06,0,0,0.13,40,0.08,66.67,0.05,0,0.03,0.15,66.67,0.82,56.25,0.69,0.56,0,20.63,0.36,0.44,31.76,85.9,12.62,72.62,1.69,98.48,14.61,95.62,26,91.14,5.63,62.73,22.26,34.79,0.03,0.23,0,0,0,0,0.08,3.86,71.52,0.61,37.5,0.33,46.15,0.2,0.05,6.01,66.81,0,NA,0,NA,0,0,0,0,NA,NA,1.33,NA,NA,0,0,0,0,0,0
"João Victor","Mirassol","Mirassol","RCB",28,250000,"2026-12-31",33,3332,2,2.86,1,0.76,8.56,57.73,"Brazil","Brazil","direito",188,80,"sim",7.27,3,57.66,3.67,58.09,0.14,0.18,1.11,5.4,7.4,0.73,8,0.22,1,0.03,0.24,0.05,2,0.05,0.08,1,0.03,14,0.38,35.71,14.286,0.03,0.11,25,0,0,0.11,25,0.05,0.11,75,0.89,57.58,0.46,0.51,0.03,30.77,0.22,0.51,42.33,92.09,14.53,84.39,2.73,98.02,20.2,97.06,38.76,94.98,3.46,61.72,19.57,35.81,0.02,0.11,0,0,0,0,0.03,2.59,80.21,0.22,12.5,0.14,40,0.08,0.05,5.56,67.48,0,NA,0,NA,0,0,0,0,NA,NA,2.35,NA,NA,0,0,0,0,0,0
"Fabricio Bruno","Cruzeiro","Cruzeiro","RCB",29,0,"2030-12-31",33,3277,3,1.44,0,0.2,9.42,67.93,"Brazil","Brazil","direito",192,90,"sim",7.58,3.84,72.14,3.41,70.97,0.14,0.19,0.63,4.67,6.38,0.69,9,0.25,1,0.03,0.38,0.08,3,0.08,0.04,3,0.08,15,0.41,46.67,20,0,0.11,75,0.05,100,0.05,50,0.03,0.11,75,0.8,55.17,0.47,0.55,0,26.42,0.33,0.49,40.45,86.76,18.65,78.2,1.68,95.08,17.58,95,33.78,92.11,6.62,59.34,22.52,36.82,0.01,0.03,0,0,0.03,100,0.03,5.19,69.84,0.6,40.91,0.33,33.33,0.16,0.05,8.13,69.59,0,NA,0,NA,0,0,0,0,NA,NA,0.99,NA,NA,0,0,0,0,0,0
"Lucas Halter","Vitória","Vitória","RCB, LCB",25,3e+06,"2027-12-31",33,3238,5,3.78,0,0.05,8.76,63.17,"Brazil","Brazil","direito",188,93,"sim",7.03,3.39,66.39,3.14,62.83,0.28,0.33,1.03,4.5,5.39,0.64,7,0.19,1,0.03,0.39,0.14,5,0.14,0.11,3,0.08,21,0.58,38.1,23.81,0,0.08,0,0.03,0,0.06,0,0.03,0.19,85.71,0.69,48,0.75,0.58,0.03,26.16,0.19,0.25,37.22,89.25,15.93,79.41,1.25,97.78,17.09,97.89,33.24,94.57,3.89,45.71,20.95,38.59,0,0.03,0.03,0,0,0,0,4.39,77.22,0.44,6.25,0.22,25,0.11,0.06,6.89,69.35,0,NA,0,NA,0,0,0,0,NA,NA,0.86,NA,NA,0,0,0,0,0,0
"Léo Pereira","Flamengo","Flamengo","LCB",29,0,"2027-12-31",34,3223,4,2.48,1,0.7,8.35,56.52,"Brazil","Brazil","esquerdo",189,79,"sim",5.67,3.02,59.26,2.82,53.47,0.17,0.28,0.53,3.71,6.15,0.59,6,0.17,0,0,0.39,0.11,4,0.11,0.07,2,0.06,18,0.5,38.89,22.222,0.03,0.39,28.57,0.36,30.77,0.03,0,0,0.17,50,0.7,44,0.95,2.09,0.03,57.36,0.5,0.34,72.32,94.05,21.19,86.03,3.57,96.88,37.98,98.38,67.1,96.8,4.83,61.27,18.9,36.07,0.02,0.28,0,0.03,0.03,0,0.14,9.02,83.28,0.81,51.72,0.45,50,0.39,0.11,8.24,76.61,0,NA,0,NA,0,0,0,0,NA,NA,1.73,NA,NA,0.08,0.06,0,0,0,0
"S. Ramos Mingo","Bahia","Bahia","LCB",24,2500000,"2029-12-31",32,3215,0,1.54,0,0.46,9.83,57.55,"Argentina","Argentina, Italy","esquerdo",186,76,"sim",6.38,3.08,66.36,4.45,54.72,0.36,0.55,0.78,3.98,5.99,0.87,8,0.22,1,0.03,0.17,0,0,0,0.04,0,0,12,0.34,33.33,0,0,0.08,33.33,0.08,33.33,0,0,0,0.11,25,0.92,54.55,0.53,1.54,0.25,36.59,0.67,0.56,47.67,90.37,22.37,84.86,3.28,93.16,16.74,96.49,43.59,94.03,4,51.75,18.54,37.31,0.01,0.08,0,0,0.03,0,0.11,6.94,82.26,0.56,35,0.39,28.57,0.11,0.03,9.15,76.15,0,NA,0,NA,0,0,0,0,NA,NA,2.38,NA,NA,0,0,0,0,0,0
"L. Villalba","Cruzeiro","Cruzeiro","LCB",31,2e+06,"2026-12-31",32,3195,1,2.99,0,0.26,10.73,62.47,"Argentina","Argentina","esquerdo",177,73,"sim",7.75,3.75,75.19,3.69,51.15,0.31,0.43,0.62,4.62,6.41,0.76,10,0.28,0,0,0.62,0.03,1,0.03,0.08,0,0,18,0.51,27.78,5.556,0,0.51,33.33,0.42,33.33,0.06,0,0.06,0.48,58.82,1.44,60.78,0.62,2.08,0,27.04,0.37,0.62,42.51,82.64,19.69,70.24,2.79,94.95,16.51,94.88,33.52,91.85,8.48,49.17,22.42,38.5,0.01,0.11,0.03,0,0.03,100,0.08,6.48,66.09,0.9,34.38,0.45,18.75,0.17,0.2,9.94,67.14,0,NA,0,NA,0,0,0,0,NA,NA,0.9,NA,NA,0,0,0,0,0,0
"J. Freytes","Fluminense","Fluminense","LCB",25,8e+05,"2025-12-31",32,3165,0,1.34,2,0.15,9.9,60.63,"Argentina","Argentina","esquerdo",186,81,"sim",5.94,3.53,63.71,3.55,55.2,0.03,0.04,0.45,3.67,5.01,0.63,8,0.23,1,0.03,0.37,0,0,0,0.04,0,0,20,0.57,30,0,0.06,0.2,28.57,0.17,33.33,0.03,0,0.06,0.2,71.43,1.36,50,0.51,0.71,0.14,43.65,0.4,0.48,58.01,86.86,23.46,75.52,3.01,89.62,25.82,96.04,49.08,92.87,8.73,54.4,22.49,41.47,0,0.11,0,0,0.06,0,0.09,7.25,66.27,1,28.57,0.45,25,0.31,0.09,11.09,68.21,0,NA,0,NA,0,0,0,0,NA,NA,1.68,NA,NA,0.06,0.06,0,0,0,0
"Pedro Henrique","Red Bull Bragantino","Red Bull Bragantino","RCB, LCB",30,3500000,"2026-12-31",31,2967,1,1.31,1,0.52,10.65,60.4,"Brazil","Brazil","direito",188,82,"sim",7.22,4.46,59.86,4.03,60.15,0.09,0.12,0.73,4.46,5.75,0.7,6,0.18,0,0,0.24,0.03,1,0.03,0.04,1,0.03,13,0.39,23.08,7.692,0.03,0.21,42.86,0,0,0.21,42.86,0,0.06,100,0.64,61.9,0.49,1,0.09,26.51,0.39,0.64,39.71,84.42,15.62,72.62,2.37,96.15,18.87,92.6,30.61,92.37,8.89,58.02,24.34,39.92,0.02,0.15,0.03,0,0.03,0,0.15,6.22,67.32,1.15,42.11,1.03,50,0.39,0.09,8.89,71.33,0,NA,0,NA,0,0,0,0,NA,NA,1.76,NA,NA,0,0,0,0,0,0
