Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,Samuel Xavier,brBRA,DF,Fluminense,34,1990,26.5,41,29,22,16,3,27,41,65.9,14,25,8,17,13,54,68,2,Matches
53,William,brBRA,DF,Cruzeiro,29,1995,25.3,74,48,36,30,8,42,87,48.3,45,32,9,23,43,117,81,3,Matches
54,Weverson,brBRA,DF,Fortaleza,24,2000,2.4,3,2,2,1,0,3,4,75.0,1,4,0,4,1,4,6,0,Matches
55,Wesley,brBRA,DF,Flamengo,21,2003,10.9,29,20,15,11,3,13,24,54.2,11,10,1,9,12,41,16,1,Matches
56,Wendell,brBRA,DF,São Paulo,31,1993,9.3,20,15,8,9,3,10,13,76.9,3,8,1,7,10,30,34,0,Matches
57,Wagner,brBRA,DF,Grêmio,25,1999,26.3,28,14,17,10,1,13,23,56.5,10,25,22,3,35,63,159,1,Matches
58,Vitinho,brBRA,DF,Botafogo (RJ),25,1999,31.5,69,40,47,13,9,37,65,56.9,28,31,7,24,26,95,87,1,Matches
59,Vitão,brBRA,DF,Internacional,24,2000,30.2,31,21,21,10,0,16,29,55.2,13,24,11,13,22,53,146,1,Matches
60,Alix Vinicius,brBRA,DF,RB Bragantino,25,1999,9.6,9,6,5,3,1,3,6,50.0,3,12,7,5,10,19,61,0,Matches
61,Matías Viña,uyURU,DF,Flamengo,27,1997,3.1,10,6,4,5,1,5,10,50.0,5,6,1,5,2,12,5,1,Matches
62,Lucas Villalba,arARG,DF,Cruzeiro,30,1994,31.8,31,20,17,13,1,14,25,56.0,11,37,27,10,47,78,199,1,Matches
63,Viery,brBRA,DF,Grêmio,20,2005,0.6,1,1,1,0,0,1,1,100.0,0,4,2,2,0,1,7,1,Matches
64,Marcos Victor,brBRA,DF,Ceará,23,2001,14.9,20,13,14,6,0,8,8,100.0,0,13,8,5,11,31,102,1,Matches
65,João Victor,brBRA,DF,Flamengo,18,2007,2.2,1,1,1,0,0,1,2,50.0,1,4,3,1,1,2,11,2,Matches
66,João Victor,brBRA,DF,Vasco da Gama,26,1998,15.9,28,25,23,5,0,15,19,78.9,4,24,11,13,10,38,99,2,Matches
67,João Victor,brBRA,DF,Mirassol,27,1997,34.0,24,14,13,10,1,14,20,70.0,6,58,46,12,34,58,193,0,Matches
68,Guillermo Varela,uyURU,DF,Flamengo,31,1993,14.7,27,16,13,10,4,12,21,57.1,9,7,5,2,8,35,45,1,Matches
69,Vanderlan,brBRA,DF,RB Bragantino,22,2002,11.7,18,14,13,3,2,9,15,60.0,6,8,2,6,3,21,25,1,Matches
70,Vanderlan,brBRA,DF,Palmeiras,22,2002,2.2,6,5,5,1,0,3,5,60.0,2,7,2,5,5,11,7,0,Matches
71,Félix Torres Caicedo,ecECU,DF,Corinthians,28,1997,7.2,11,8,7,4,0,8,11,72.7,3,8,4,4,13,24,26,1,Matches
72,Rafael Tolói,itITA,DF,São Paulo,34,1990,5.5,16,9,9,5,2,8,11,72.7,3,7,4,3,10,26,37,1,Matches
73,Titi,brBRA,DF,Fortaleza,36,1988,3.0,4,1,2,2,0,2,4,50.0,2,2,2,0,10,14,11,0,Matches
74,Guilherme Tinga,brBRA,DF,Fortaleza,31,1993,8.4,14,5,11,3,0,11,20,55.0,9,11,7,4,10,24,40,0,Matches
75,Rafael Thyere,brBRA,DF,Sport Recife,31,1993,23.4,27,18,19,8,0,12,19,63.2,7,35,31,4,26,53,138,0,Matches
76,Alex Telles,brBRA,DF,Botafogo (RJ),32,1992,18.8,20,15,11,9,0,8,15,53.3,7,10,5,5,17,37,42,0,Matches
77,Igor Vinícius de Souza,brBRA,DF,Santos,27,1997,14.5,47,31,32,14,1,24,41,58.5,17,12,2,10,14,61,34,2,Matches
78,Igor Vinícius de Souza,brBRA,DF,São Paulo,27,1997,1.8,2,1,0,2,0,0,1,0.0,1,1,0,1,1,3,0,0,Matches
79,Fabiano Souza,brBRA,DF,Ceará,24,2000,32.3,44,36,19,21,4,26,41,63.4,15,25,6,19,29,73,116,1,Matches
80,Souza,brBRA,DF,Santos,18,2006,18.2,41,30,23,13,5,26,38,68.4,12,16,7,9,24,65,67,0,Matches
81,Thiago Silva,brBRA,DF,Fluminense,40,1984,24.0,9,4,6,3,0,4,5,80.0,1,18,14,4,20,29,141,2,Matches
82,João Silva,ptPOR,DF,Sport Recife,26,1999,11.0,10,6,8,1,1,2,8,25.0,6,13,8,5,8,18,46,0,Matches
83,Aderlan Silva,brBRA,DF,Sport Recife,34,1990,10.2,15,7,8,5,2,10,26,38.5,16,14,7,7,14,29,31,0,Matches
84,Aderlan Silva,brBRA,DF,Santos,34,1990,1.0,1,0,0,1,0,1,1,100.0,0,2,0,2,1,2,1,0,Matches
85,Igor Serrote,brBRA,DF,Grêmio,19,2005,5.7,24,17,15,8,1,19,26,73.1,7,9,5,4,14,38,31,0,Matches
86,Davi Schuindt,brBRA,DF,Fluminense,20,2004,2.0,2,2,2,0,0,0,0,,0,3,2,1,2,4,13,0,Matches
87,Renzo Saravia,arARG,DF,Atlético Mineiro,31,1993,11.8,29,23,17,10,2,13,24,54.2,11,12,4,8,7,36,44,1,Matches
88,Eduardo Santos,brBRA,DF,RB Bragantino,27,1997,3.5,7,5,5,2,0,2,2,100.0,0,9,6,3,8,15,24,0,Matches
89,Agustín Sant'Anna,uyURU,DF,RB Bragantino,27,1997,5.8,14,9,7,4,3,9,17,52.9,8,8,3,5,10,24,20,1,Matches
90,Alex Sandro,brBRA,DF,Flamengo,34,1991,17.2,14,7,5,6,3,5,9,55.6,4,18,7,11,18,32,53,2,Matches
91,Rodrigo Sam,brBRA,DF,Juventude,29,1995,16.2,34,19,26,7,1,18,29,62.1,11,14,8,6,27,61,103,0,Matches
92,Daniel Sales,brBRA,DF,Flamengo,18,2006,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,Matches
93,José Sabino,brBRA,DF,São Paulo,28,1996,25.5,35,23,22,12,1,14,31,45.2,17,30,25,5,49,84,162,1,Matches
94,Alan Ruschel,brBRA,DF,Juventude,35,1989,13.7,28,11,16,12,0,13,23,56.5,10,10,4,6,15,43,25,0,Matches
95,Ruan,brBRA,DF,São Paulo,25,1999,4.0,4,4,4,0,0,3,3,100.0,0,6,5,1,7,11,41,1,Matches
96,Ruan,brBRA,DF,Atlético Mineiro,25,1999,9.0,9,6,7,2,0,3,11,27.3,8,12,10,2,14,23,44,0,Matches
97,Iván Román,clCHI,DF,Atlético Mineiro,18,2006,7.8,9,6,5,3,1,6,16,37.5,10,7,3,4,10,19,41,0,Matches
98,Agustín Rogel,uyURU,DF,Internacional,27,1997,5.0,9,6,6,3,0,5,9,55.6,4,5,4,1,1,10,27,0,Matches
99,Guzmán Rodríguez,uyURU,DF,RB Bragantino,24,2000,22.8,22,15,15,7,0,15,25,60.0,10,32,23,9,13,35,135,0,Matches
100,Marcos Rocha,brBRA,DF,Grêmio,36,1988,10.7,41,29,24,12,5,23,37,62.2,14,18,7,11,18,59,30,0,Matches
101,Marcos Rocha,brBRA,DF,Palmeiras,36,1988,1.0,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,3,0,Matches
