Rk,Player,Nation,"Pos
▲",Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
52,Samuel Xavier,brBRA,DF,Fluminense,34,1990,26.5,5,0,0,32,34,0,51,13,29,0,0,0,94,5,26,16.1,Matches
53,William,brBRA,DF,Cruzeiro,29,1995,25.3,4,1,1,40,18,4,165,43,48,0,0,0,122,14,25,35.9,Matches
54,Weverson,brBRA,DF,Fortaleza,24,2000,2.4,0,0,0,6,2,0,6,1,2,0,0,0,11,1,3,25.0,Matches
55,Wesley,brBRA,DF,Flamengo,21,2003,10.9,4,0,0,16,23,1,50,12,20,0,0,0,49,7,10,41.2,Matches
56,Wendell,brBRA,DF,São Paulo,31,1993,9.3,0,0,0,13,16,1,34,10,15,0,0,0,45,12,6,66.7,Matches
57,Wagner,brBRA,DF,Grêmio,25,1999,26.3,3,0,0,21,6,1,0,35,14,0,0,0,73,65,41,61.3,Matches
58,Vitinho,brBRA,DF,Botafogo (RJ),25,1999,31.5,3,0,0,29,17,4,119,26,40,0,1,0,99,17,26,39.5,Matches
59,Vitão,brBRA,DF,Internacional,24,2000,30.2,5,0,0,22,1,0,2,22,21,0,0,1,89,58,44,56.9,Matches
60,Alix Vinicius,brBRA,DF,RB Bragantino,25,1999,9.6,4,0,0,16,7,0,1,10,6,1,0,0,33,19,10,65.5,Matches
61,Matías Viña,uyURU,DF,Flamengo,27,1997,3.1,1,0,0,5,3,0,8,2,6,0,0,0,11,4,2,66.7,Matches
62,Lucas Villalba,arARG,DF,Cruzeiro,30,1994,31.8,10,0,0,29,22,1,18,47,20,0,0,0,99,69,56,55.2,Matches
63,Viery,brBRA,DF,Grêmio,20,2005,0.6,0,0,0,1,0,0,0,0,1,0,0,0,6,0,1,0.0,Matches
64,Marcos Victor,brBRA,DF,Ceará,23,2001,14.9,0,0,0,7,7,1,3,11,13,0,0,0,41,21,15,58.3,Matches
65,João Victor,brBRA,DF,Flamengo,18,2007,2.2,1,0,0,3,1,0,0,1,1,0,0,0,9,2,0,100.0,Matches
66,João Victor,brBRA,DF,Vasco da Gama,26,1998,15.9,3,0,0,11,11,0,4,10,25,0,0,1,69,43,12,78.2,Matches
67,João Victor,brBRA,DF,Mirassol,27,1997,34.0,8,1,0,28,22,2,1,34,14,0,1,0,109,69,50,58.0,Matches
68,Guillermo Varela,uyURU,DF,Flamengo,31,1993,14.7,1,0,0,9,12,2,32,8,16,0,1,0,42,17,18,48.6,Matches
69,Vanderlan,brBRA,DF,RB Bragantino,22,2002,11.7,4,0,0,20,9,1,54,3,14,0,0,0,47,7,4,63.6,Matches
70,Vanderlan,brBRA,DF,Palmeiras,22,2002,2.2,0,0,0,5,3,0,6,5,5,0,0,0,5,3,4,42.9,Matches
71,Félix Torres Caicedo,ecECU,DF,Corinthians,28,1997,7.2,1,0,0,14,3,0,2,13,8,0,0,0,33,7,3,70.0,Matches
72,Rafael Tolói,itITA,DF,São Paulo,34,1990,5.5,0,0,0,2,2,0,1,10,9,0,0,0,22,6,7,46.2,Matches
73,Titi,brBRA,DF,Fortaleza,36,1988,3.0,2,1,1,4,1,0,0,10,1,0,0,0,7,5,4,55.6,Matches
74,Guilherme Tinga,brBRA,DF,Fortaleza,31,1993,8.4,1,0,0,6,4,0,19,10,5,0,0,0,25,22,8,73.3,Matches
75,Rafael Thyere,brBRA,DF,Sport Recife,31,1993,23.4,2,0,0,14,9,0,3,26,18,0,0,0,59,43,33,56.6,Matches
